image,steering
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10000.jpg,0.04681855906641417
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10020.jpg,0.06803841607287228
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10040.jpg,0.06658428469005066
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10060.jpg,0.05527608338133909
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10080.jpg,0.04326721886234264
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10100.jpg,0.05244932820131467
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10120.jpg,0.047016162417436114
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10140.jpg,0.05784303477612749
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10160.jpg,0.04673358928836304
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10180.jpg,0.06112992204016905
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_1020.jpg,-0.060214150957246915
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10200.jpg,0.07528662479103154
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10220.jpg,0.0563472481790301
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10240.jpg,0.07818389977814313
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10260.jpg,0.06277848041971143
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10280.jpg,0.0652777981212406
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10300.jpg,0.0752013100602742
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10320.jpg,0.05994327636208041
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10340.jpg,0.05364681966380971
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10360.jpg,0.05560562529180615
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10380.jpg,0.048006569256984474
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10400.jpg,0.04314195991945535
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10420.jpg,0.03207467042220795
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10440.jpg,0.034683561420581197
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10460.jpg,0.04031439349801911
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10480.jpg,0.03196106494600599
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10500.jpg,0.05009023967658095
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10520.jpg,0.06180800637252108
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10540.jpg,0.04936122693483273
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10560.jpg,0.05456162105816027
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10580.jpg,0.01606766574411882
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10600.jpg,0.009863138927025084
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10620.jpg,0.014258751620186416
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10640.jpg,0.007697624303584583
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10660.jpg,0.011379269266433133
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10680.jpg,0.005345403051320474
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10700.jpg,0.04407260750712112
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10720.jpg,0.02296752326074234
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10740.jpg,0.04170443237053192
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10760.jpg,0.07653944160352903
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10780.jpg,0.0626140982185495
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_1080.jpg,-0.06465390398586682
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10800.jpg,0.07125254172667965
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10820.jpg,0.0807693940489493
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10840.jpg,0.08524616152165443
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10860.jpg,0.07741186272839559
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10880.jpg,0.06552352264310653
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10900.jpg,0.0857266788254897
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10920.jpg,0.07274544712416783
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10940.jpg,0.07903825451795629
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10960.jpg,0.08320832565112753
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_10980.jpg,0.08526748444612302
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11000.jpg,0.07729798730062072
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11020.jpg,0.071212397492509
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11040.jpg,0.07842784519672037
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11060.jpg,0.06937753282243513
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11080.jpg,0.08779190199091662
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11100.jpg,0.08280365941065906
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11120.jpg,0.07750921565120628
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11140.jpg,0.08828828158945612
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11160.jpg,0.0799387993762993
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11180.jpg,0.06417325528653653
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11200.jpg,0.06850206151832464
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11220.jpg,0.06525999308401112
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11240.jpg,0.057876089923320426
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11260.jpg,0.0693317519721722
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11280.jpg,0.06675389415287433
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11300.jpg,0.047446256705585374
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11320.jpg,0.05244051412112558
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11340.jpg,0.05287873572783024
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11360.jpg,0.04454300522049017
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11380.jpg,0.03467069637089111
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_1140.jpg,-0.07342753293788
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11400.jpg,0.04770267062926958
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11420.jpg,0.020635702889331142
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11440.jpg,0.026183442957703206
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11460.jpg,0.02364803071619672
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11480.jpg,0.028988032963367338
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11500.jpg,0.0359625785287264
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11520.jpg,0.03164563526665169
C:\Users\piyus\OneDrive\Desktop\mi\data base\tusimple_preprocessed\training\frames\0313-1_11540.jpg,0.05036809004361533
